FECHA,OPCION_1,OPCION_2,POSTRE
2026-05-04,"OMELETTE DE QUESO Y CEBOLLA / RAVIOLES RICOTA ,CODITOS ,SPAGUETIS / SALSAS DE TOMATE, BECHAMEL Y TUCO",MILANESA DE BERENJENAS / CON TORTILLA DE VERDURAS,VARIEDAD DE POSTRES / FRUTAS FRESCAS ENTERAS Y EN GAJITOS
2026-05-05,"BUÑUELITO DE ARROZ / FILET A LA MILANESA,MEDALLON DE PESCAD / TORTILLA DE PAPAS",MATAMBRITO A LA PIZZA / CON BOÑATO Y ZANAHORIAS,VARIEDAD DE POSTRES / FRUTAS FRESCAS ENTERAS Y EN GAJITOS
2026-05-06,BRUSQUETAS CAPRESE / COLITA DE CUADRIL / CON SALSA DEMIGLACE / CON ARROZ,VARIEDAD DE TARTAS / JAMON Y QUESO / ZAPALLITOS,VARIEDAD DE POSTRES / FRUTAS FRESCAS ENTERAS Y EN GAJITOS
2026-05-07,"BASTON DE MOZZARELLA / POLLO AL HORNO / SALSA AL AJILLO / PAPAS, CEBOLLAS, MORRONES ASADOS",CHAW MIEN / (tallarines en wok de vegetales con salsa de soja),VARIEDAD DE POSTRES / FRUTAS FRESCAS ENTERAS Y EN GAJITOS
2026-05-11,CANASTITAS DE HUMITA / POLLO AL HORNO / SALSA DE VERDEO / ARROZ BLANCO Y AMARILLO,LENTEJAS / A LA ESPAÑOLA,VARIEDAD DE POSTRES / FRUTAS FRESCAS ENTERAS Y EN GAJITOS
2026-05-12,SOPA CREMA DE VERDURAS / CARNE AL HORNO / DADOS DE CALABAZA Y PAPAS DORADAS,"VARIEDAD DE TARTAS / PASCUALINA, JAMON Y QUESO",VARIEDAD DE POSTRES / FRUTAS FRESCAS ENTERAS Y EN GAJITOS
2026-05-13,"HUEVOS RELLENOS / SORRENTINOS, MOSTACHOLES, FIDEOS / SALSA ESTOFADO, PARISIEN Y ROSA",BROCHETTE DE TERNERA / TORTILLA DE VERDURAS,VARIEDAD DE POSTRES / FRUTAS FRESCAS ENTERAS Y EN GAJITOS
2026-05-18,BRUSCHETAS DE TOMATE / CARNE AL HORNO / SALSA DEMIGLACE / CON PAPAS Y BATATAS A LA ESPAÑOLA,CREPES DE JAMÓN Y QUESO / EN SALSA ROSA,VARIEDAD DE POSTRES / FRUTAS FRESCAS ENTERAS Y EN GAJITOS
2026-05-19,"VITEL TONNÉ / ÑOQUIS ,CODITOS,SPAGUETIS / SALSAS DE TOMATE, BECHAMEL Y 4 QUESOS",CARRÉ DE CERDO MECHADO / PURÉ DE BATATAS,VARIEDAD DE POSTRES / FRUTAS FRESCAS ENTERAS Y EN GAJITOS
2026-05-20,HUEVOS RELLENOS / FILET MILANESAY MEDALLON DE PESCADO / PAPAS Y CALABAZAS,TARTA DE JAMÓN Y QUESO / TARTA ZAPALLITOS,VARIEDAD DE POSTRES / FRUTAS FRESCAS ENTERAS Y EN GAJITOS
2026-05-21,BASTONCITO DE MOZZARELLA / POLLO AL HORNO / ARROZ,BONDIOLA BRASEADA / REVUELTO GRAMAJO,VARIEDAD DE POSTRES / FRUTAS FRESCAS ENTERAS Y EN GAJITOS
2026-05-25,FERIADO,,
2026-05-26,"SOPA CREMA DE VERDURAS / TALLARINES, TIRABUZONES, RAVIOLES / SALSA ROJA,BLANCA.PARISIENE",MILANESA DE BERENJENA Y ZUCCINI A LA SUIZA / TORTILLA DE VEGETALES,VARIEDAD DE POSTRES / FRUTAS FRESCAS ENTERAS Y EN GAJITOS
2026-05-27,PIONONO / CARNE AL HORNO / CON ARROZ,VARIEDAD DE TARTAS / JAMÓN Y QUESO / PASCUALINA,VARIEDAD DE POSTRES / FRUTAS FRESCAS ENTERAS Y EN GAJITOS
2026-05-28,SOPA DE CALABAZA CON FIDEITOS / MILANESA DE POLLO / PURÉ DE CALABAZAS Y DE PAPAS,LENTEJAS A LA ESPAÑOLA,VARIEDAD DE POSTRES / FRUTAS FRESCAS ENTERAS Y EN GAJITOS